Play,Genre,Year,Playwright,Act & Scene,Character - Speaker,Gender ,Fragment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"Doubtful it [broil] stood; As two spent swimmers, that do cling together And choke their art. ",military,consumption,physical activities,adhesion,violence,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him",recognition,social unrest,reproduction,ethics,nature,animals,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"And Fortune, on his damned quarry smiling, Show'd like a rebel's whore",mystical,death,facial expressions,social unrest,sexuality,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"Disdaining Fortune, with his brandish'd steel, Which smoked with bloody execution, ",derision,mystical,weapons,fire,violence,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,Like Valour's minion carved out his passage Till he faced the slave;,character traits & nature,social status,violence,spatial ,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"Till he unseam'd him from the nave to the chaps,",clothes ,anatomy,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"As whence the sun 'gins his reflection, Shipwrecking storms and direful thunders, So from that spring whence comfort seem'd to come Discomfort swells",nature,nautical,feelings,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"No sooner justice had, with valour arm'd, Compell'd these skipping kerns to trust their heels,",judiciary,character traits & nature,weapons,violence,military,mental faculty & state,anatomy
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"with furbished arms and new supplies of men, Began a fresh assault.",economics,military,violence,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"Dismayed not this [assault] our captains, Macbeth and Banquo? As sparrows eagles, or the hare the lion.",feelings,violence,animals,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"As cannons overcharged with double cracks, so they Doubly redoubled strokes",weapons,quantities,violence,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,to bathe in reeking wounds,cleaning,injuries,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,memorise another Golgotha,mental faculty & state,religion,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,my gashes cry for help.,injuries,sounds,assistance,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",DUNCAN,Male,thy words become thee as thy wounds; They smack of honour both. ,language,etiquette,injuries,food,character traits & nature,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",ROSS,Male,Where the Norweyan banners flout the sky and fan our people [soldiers] cold.,politics,derision,nature,military,temperature,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",ROSS,Male,"Till that Bellona's bridegroom, lapp'd in proof, Confronted him ",myth,matrimony,weapons & armor,violence,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",DUNCAN,Male,shall deceive Our bosom interest,deception,anatomy,politics,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",First Witch,Female,"like a rat without a tail, I'll do",animals,anatomy,physical activities,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",First Witch,Female,I will drain him dry as hay:,sexuality,nature,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",First Witch,Female,Sleep shall neither night nor day Hang upon his penthouse lid;,sleep,time,adhesion,architecture,anatomy,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",ALL Witches,Female,the charm's wound up.,mystical,music,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",BANQUO,Male,"What are these So wither'd and so wild in their attire, That look not like the inhabitants o' the earth, And yet are on't? ",consumption,clothes ,appearance,accomodation,nature,,
