Play,Genre,Year,Playwright,Act & Scene,Character ,Gender ,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,Prologue,Prologue,Male,"hir Hannibal Made Rome to tremble, and the Wals yet pale:",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,Prologue,Prologue,Male,but the lot Of doubtfull fauour Massinissa grac'd At which Syphax grows blacke: ,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,Prologue,Prologue,Male,For now the night Yeelds loud resoundings of the nuptiall pompe: Apollo strikes his Harpe: Hymen his Torch Whilst lowring Iuno with ill-boding eye Sits enuious at too forward Venus:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,Prologue,Prologue,Male,The wonder of a constancie so fixt That Fate it selfe might well grow enuious,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,Prologue,Prologue,Male,"Be pleasd to sit such as may merrit oile And holy dew stil'd from diuiner heat,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,Prologue,Prologue,Male,"For iust worth neuer rests on popular frowne, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,Prologue,Prologue,Male,To haue done well is faire deeds onely crowne.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,wert thou a slaue Though Sophonisba did reiect thy loue Thy low neglected head vnpointed at.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,Reputation Thou awe of fooles and greatmen: ,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,"[Reputation] thou that choakst Freest addictions, and makst mortals sweat Bloud and cold drops in feare to loose",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,Reputation! Wert not for thee Syphax could beare this skorne Not spouting vp his gall among his bloud In blacke vexations:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,Without my dangerous Enuy or Reuenge Wert not for thy affliction all might sleepe In sweete obliuion:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,Some light in depth of hell: Vangue what hope?,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,"spread thy two-necked Eagles, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,"Fill full thy sailes with a reuenging wind, ",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,"Strike through obedient Neptune, till thy prows Dash vp our Lybian ooze,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,"thy iust armes Shine with amazfull terror on these wals,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,"O now record thy Fathers honord bloud Which Carthage drunke, thy Vncle Publius bloud Which Carthage drunke,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,30000 soules Of choice Italians Carthage set on wing:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,"O then inlarge thy hart Be thousand soules in one, let all the breath The spirit of thy name and nation be mixt strong In thy great hart:",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,O fall like thunder shaft The winged vengeance of incensed Jove,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,His (now freed) scepter once did yeeld this Cittie. ,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,"Yee vniuersall Gods, Light, Heate, and Ayre Proue all vnblessing Syphax if his hands Once reare them selues for Carthage but to curse it.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 1",Syphax,Male,Passion is Reason when it speakes from Might,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,We must still seeme to flie what we most seeke And hide our selues from that we faine would find vs,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Zanthia,Female,"those that are strongly form'd And truely shapt may naked walke,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Zanthia,Female,Ti's wonder Madam you treade not awry. -[…] You goe very high.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,She that is iust in loue is Godlike chaste:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,A modest silence tho'te be thought A virgins beautie and hir highest honor,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,After my word my well bold action rusheth In open flame ,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"passion breake Where Vertue prompts, thought, word, act neuer blusheth.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,Reuenging Gods whose Marble hands Crush faithlesse men with a confounding terror,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"Which zealous vow when ought can force me t'lame Load with that plague Atlas would groane at, shame.",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Asdrubal,Male,Your [the parents] stemms may touch the skies and shaddow earth,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Asdrubal,Male,"Most great in fame, more great in vertue shining",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,"To bold harts Fortune, be not you amazd Carthage!",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,The stooping Sun like to some weaker Prince Let his shads spread to an vnnaturall hugenesse,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,"Vpon whose [ships] tops the Roman Eagles streachd Their large spread winges, which fan'd the euening ayre, To vs cold breath,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,Rome swam to Carthage.,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,Th'allarum beates necessitie of fight,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,Th'vnsober euening drawes out reeling forces,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,Scipio aduaunced like the God of blood,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,that father of foule wounds,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,"whose hideous voice Makes turrets tremble, and whole Citties shake",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,Before whose browes flight and disorder hurry,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,"With whom March Burnings, murder, wrong, waste, rapes",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,"Behind whom a sad traine is seene, Woe, Feares Tortures, Leane, Neede, Famine, and helplesse teares",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,"in heate Of youth and wine, iolly and full of bloud, We gaue the signe of battle:",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,shouts are raisd That shooke the heauens:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,arms thundred as they closd,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,"when low as oft you see In mines of gold, when laboring slaues delue out The richest ore, being in suddaine hope With some vnlookt for vaine to full their buckets And send huge treasure vp, a suddaine damp Stifles them all, their hands yet stuffd with gold So fell our fortunes",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Carthalo,Male,but Scipio sounds retraite As fearing traines and night:,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Massinissa,Male,What dost thou thinke baldnesse will cure thy greefe,,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Gelosso,Male,"Imbrace this charge You neuer yet dishonord Asdruball,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Gelosso,Male,"whil'st our o're-toild foe Snores on his vnlacd cask,",,,,,,,
"The Wonder of Women, or Sophonisba",Tragedy,1605,John Marston,"A 1, S 2",Sophonisba,Female,"O you that know our bloud,",,,,,,,
