Play,Genre,Year,Playwright,Act & Scene,Character - Speaker,Gender ,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6 ,Topic 7
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,all thy [king] people Mutually labouring in a fit of wonder?,politics,labor,mental faculty & state,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,dearly earned them [our titles] in our flesh.,economics,social status,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",king,Male,"It savours [...] nor virtue, Religion, loyalty, heaven or nature?s laws So most perfidiously to enter, tyrant, ",food,ethics,religion,devotion,nature,spatial,politics
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",king,Male,And when shines friendship best but in a storm?,light,social relations,nature,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,"Impoverishing the heart of our munition,",economics,anatomy,weapons,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,"having won the honour of the battle To throw our glory on unworthy spirits, ",military,privation,recognition,social relations,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,unload victory?s honey thighs To let drones feed?,labor,military,food,animals,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,"The kingdom, and not under, suits our blood.",politics,spatial,etiquette,anatomy,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,"Flies are not eagles? preys, nor thanks our food.",animals,recognition,food,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,"And for Cilicia, our other sphere? Our son Zenarchus, let thy beams move there.",politics,astrology,familial,light,movement,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",zenarchus,Male,retain The seal of honour and religion.,preservation,heraldry,character traits & nature,religion,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",mazeres ,Male,"The [dukedom, the kingdom, Lydia]. All pant under your sceptre",geography,breathing,spatial,politics,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",mazeres ,Male,Be not bought out with words.,economics,language,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",mazeres ,Male,"Kiss fortune, ",affection,mystical,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,Had we not beat his strength to his own throat,violence,military,anatomy,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,in him [family] ?twas [treachery] monstrous;,familial,politics,deformities,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",tyrant,Male,There?s more deceit in peace: ?tis common there To unfold young heirs;  the old may well stand bare.,deception,politics,clothes,familial,life's cycle,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",king,Male,honour the rising sun.,devotion,nature,,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",king,Male,shame the world and follow me.,emotions,politics,devotion,,,,
The Bloody Banquet,Tragedy,1610,Thomas Dekker,"A 1, S 1",sertorio & lodovico,Male,I?ll play the flounder: keep me to my tide. And so will I: this is the flowing side.,theatre,animals,preservation,nature,movement,politics,
