Play,Genre,Year,Playwright,Act and Scene,Character - Speaker,Gender ,Fragment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,What Diapasons more in Tarquins [Lord] name Then in a Subiects?  ,music,social status,language,politics,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"More in the sound, then to become the name Of a poore Maide or waiting Gentlewoman?",sounds,language,social status,, ,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"my title beares no breadth,",social status,labor,spatial,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,Sick at heart.,medicine,anatomy,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"I long, long and am sicke With ardence, ",emotions,medicine,fire,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"my hot appetite's afire, Till my swolne feruor be deliuered Of that great Title Queene, ",temperature,food,fire,reproduction,feelings,social status,politics
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"my heart's all royal, Not to be circumscribed in servill bounds,",anatomy,character traits & nature,spatial,social relations,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,my prowd heart cannot brooke it [obeysance].,character traits & nature,anatomy,suffering,social relation,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"Oh had God made me man, I would haue mounted Aboue the base tribunals of the earth, Vp to the clowdes, for pompeous soueraintie,",religion,men,physical activities,spatial,politics,nature,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"Mount heauen and see if Tullia [woman] lag behinde, ",physical activities,religion,sensations,women,movement,spatial,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"There is no earth in me, I am all fire, Were Tarquin [man] so, then should we both aspire.",medicine,fire,men,physical activities,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tarquin,Male,"though my body taste of dulnesse, ",anatomy,food,movement,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tarquin,Male,"My soule is wingde: loe I soare as high as thine, But note what flags our wings! ",religion,animals,physical activities,spatial,consumption,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tarquin,Male,"And but by Seruius [the king's] fall we cannot climbe,",politics,destruction,physical activities,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tarquin,Male,The balme that must annoynt vs is his [the king's] blood.,medicine,religion,politics,anatomy,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tullia,Female,"Lets laue our browes then in that crimson flood,",cleaning,anatomy,colors,nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tarquin,Male,"in my swathed Infancye,",clothes,life's cycle,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tarquin,Male,"They all imbrace my faction,",affection,politics,,,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Tarquin,Male,"heart pure, as vnblemisht Innocence.",anatomy,cleaning,ethics,character traits & nature,,,
The Rape of Lucrece,Tragedy,1607,Thomas Heywood,"A 1, S 1",Colatine,Male,"Heeres modell, yea, and matter [succession] too to breed Strange meditations in the prouident braines Of our graue Fathers:",ethics,politics,reproduction,mental faculty & state,anatomy,familial,
