Play,Genre,Year,Playwright,Act & Scene,Character ,Gender ,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"what offices, Titles of honor, and what admiration, Could France afford him that it pourd not on?",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Janin,Male,And yet (my Lord) all this [the titles] could not allay The fatall thrist of his ambition.,,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Janin,Male,"For some haue heard him say he would not die, Till on the wings of valour he had reacht One degree heigher;",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Janin,Male,"Yea at so vnbeleeu'd a pitch he aymd, That he hath said his heart would still complaine, Till he aspird the style of Soueraigne,",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"without treason bred in our owne brests,",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,His altred disposition could not growe So far wide in an instant;,,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"Nor resigne His valure to these lawles resolutions Vpon the sodaine; nor without some charms, Of forreigne hopes and flatteries sung to him:",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"But far it flyes my thoughts, that such a spirrit, So actiue, valiant, and vigilant; Can see it selfe transformed with such wild furies. And like a dreame it shewes to my conceipts,",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"He that still dayly reapes so much from me,",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"Should quite against the streame of all religion,",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,the violence Of his hot spirtit,,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"they found him still, As an vnmatcht Achilles in the warres, So a most wise Vlisses to their words, Stopping his eares at their enchanted sounds;",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"although his blood (Being mou'd) by Nature, were a very fire And boyld in apprehension of a wrong, Yet should his mind hold such a scepter there, As would containe it from all act and thought Of treachery or ingratitude to his Prince.",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,Who hath his heart in keeping;,,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,"In him, as in a christall that is charm'd, I shall descerne by whome and what designes, My rule is threatened;",,,,,,,
"The Tragedy of Charles, Duke of Byron",Tragedy,1608,George Chapman,"A 1, S 1",Henry,Male,so end VVhat his hand hath with such successe begunne.,,,,,,,
