Play,Genre,Year,Playwright,Act & Scene,Character - Speaker,Gender ,Fragment,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"Doubtful it [broil] stood; As two spent swimmers, that do cling together And choke their art. ",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"Disdaining Fortune, with his brandish'd steel, Which smoked with bloody execution, ",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,Like Valour's minion carved out his passage Till he faced the slave;,violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"No sooner justice had, with valour arm'd, Compell'd these skipping kerns to trust their heels,",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"with furbished arms and new supplies of men, Began a fresh assault.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"Dismayed not this [assault] our captains, Macbeth and Banquo? As sparrows eagles, or the hare the lion.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",Sergeant,Male,"As cannons overcharged with double cracks, so they Doubly redoubled strokes",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S2",ROSS,Male,"Till that Bellona's bridegroom, lapp'd in proof, Confronted him ",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",ROSS,Male,His wonders and his praises do contend Which should be thine [military general] or his [the king's]:,violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",BANQUO,Male,"to win us to our harm, The instruments of darkness tell us truths,",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,"I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,"My thought, whose murder yet is but fantastical, Shakes so my single state of man [self]",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S3",MACBETH,Male,"function Is smother'd in surmise,",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S4",MACBETH,Male,"The eye wink at the hand; yet let that be, Which the eye fears, when it [mruder] is done, to see.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"That no compunctious visitings of nature Shake my fell purpose, ",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S5",LADY MACBETH,Female,"you murdering ministers, Wherever, in your sightless substances, You wait on nature's mischief.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male," if the assassination Could trammel up the consequence, and catch with his surcease, success",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"teach Bloody instructions, which, being taught, return To plague the inventor:",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",MACBETH,Male,"[pity] Shall blow the horrid deed [murder] in every eye, That tears shall drown the wind.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A1, S7",LADY MACBETH,Female,"What beast was't, then, That made you break this enterprise [violent plan] to me?",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male,"wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his watch,",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S1",MACBETH,Male," thus with his [murder's] stealthy pace, With Tarquin's ravishing strides, towards his design Moves like a ghost. ",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,"death and nature do contend about them, Whether they live or die.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"murder sleep', the innocent sleep,",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,"murder'd sleep, ",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",MACBETH,Male,What hands are here? ha! they pluck out mine eyes.,violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S2",LADY MACBETH,Female,A little water clears us of this deed [murder]:,violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",LENNOX,Male,the earth Was feverous and did shake.,violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,"Most sacrilegious murder hath broke ope The Lord's anointed temple, ",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,and [murder]  stole thence The life o' the building!,violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,"Shake off this downy sleep, death's counterfeit,",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACDUFF,Male,"The repetition, in a woman's ear, Would murder as it fell.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACBETH,Male,"The expedition of my violent love Outran the pauser, reason. ",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MACBETH,Male,"the murderers, Steep'd in the colours of their trade,",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",BANQUO,Male,"In the great hand of God I stand, and thence Against the undivulged pretence I fight Of treasonous malice.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S3",MALCOLM,Male,"This murderous shaft that's shot Hath not yet lighted, and our safest way Is to avoid the aim.",violence,,,,,,
Macbeth,Tragedy,1606,William Shakespeare,"A2, S4",ROSS,Male,"the heavens, as troubled with man's act, Threaten his bloody stage:",violence,,,,,,
