(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"Doubtful it [broil] stood; As two spent swimmers, that do cling together And choke their art. ","Doubtful it [broil] stood As two spent swimmers, that do cling together And choke their art. ",0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0,military,consumption,physical activities,adhesion,violence,,
"Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him","Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him",1 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0,recognition,social unrest,reproduction,ethics,nature,animals,
"And Fortune, on his damned quarry smiling, Show'd like a rebel's whore","And Fortune, on his damned quarry smiling, Show'd like a rebel's whore",0 1 0 0 0 1 1 0 0 0 1 1,mystical,death,facial expressions,social unrest,sexuality,,
"Disdaining Fortune, with his brandish'd steel, Which smoked with bloody execution, ","Disdaining Fortune, with his brandish'd steel, Which smoked with bloody execution, ",1 1 0 0 0 1 0 1 0 1 1,derision,mystical,weapons,fire,violence,,
Like Valour's minion carved out his passage Till he faced the slave;,Like Valour's minion carved out his passage Till he faced the slave,0 1 1 1 0 0 1 0 0 0 0 1,character traits & nature,social status,violence,spatial,,,
"Till he unseam'd him from the nave to the chaps,","Till he unseam'd him from the nave to the chaps,",0 0 1 0 0 0 1 0 0 1,clothes,anatomy,,,,,
"As whence the sun 'gins his reflection, Shipwrecking storms and direful thunders, So from that spring whence comfort seem'd to come Discomfort swells","As whence the sun 'gins his reflection, Shipwrecking storms and direful thunders, So from that spring whence comfort seem'd to come Discomfort swells",0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0,nature,nautical,feelings,,,,
"No sooner justice had, with valour arm'd, Compell'd these skipping kerns to trust their heels,","No sooner justice had, with valour arm'd, Compell'd these skipping kerns to trust their heels,",0 0 1 0 0 1 1 1 0 0 1 0 1 0 1,judiciary,character traits & nature,weapons,violence,military,mental faculty & state,anatomy
"with furbished arms and new supplies of men, Began a fresh assault.","with furbished arms and new supplies of men, Began a fresh assault.",0 0 1 0 0 1 0 1 0 0 0 1,economics,military,violence,,,,
"Dismayed not this [assault] our captains, Macbeth and Banquo? As sparrows eagles, or the hare the lion.","Dismayed not this [assault] our captains, Macbeth and Banquo? As sparrows eagles, or the hare the lion.",1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 1,feelings,violence,animals,,,,
